Target_label,Version_code,Apk_size,Nlib,min_sdk,targ_sdk,Nperm,Ndang,Nnorm,Ncust,Nact,Nserv,Nintent,delay_last_release,release_time,note_length,chang_perc_note,Apk_size_changed,diff_Apk_size,Nlib_changed,diff_Nlib,min_sdk_changed,diff_min_sdk,targ_sdk_changed,diff_target_sdk,Nperm_changed,diff_Nperm,Ndang_changed,diff_Ndang,Nnorm_changed,diff_Nnorm,Ncust_changed,diff_Ncust,Nact_changed,diff_Nact,Nserv_changed,diff_Nserv,Nintent_changed,diff_Nintent,chang_perc_Apk_size,chang_perc_Nlib,chang_perc_min_sdk,chang_perc_targ_sdk,chang_perc_Nperm,chang_perc_Ndang,chang_perc_Nnorm,chang_perc_Ncust,chang_perc_Nact,chang_perc_Nserv,chang_perc_Nintent,hist_rating,hist_perc_neg_rating,last_rating,last_perc_neg_rating,prev_release_res,app_recent_rate_bad,app_hist_rate_bad,Negativity_ratio
1,247000003,48.71505,2,15,23,12,3,5,3,5,2,6,11,11,56,1.7857,1,0.5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0759,0,0,0,0,0,0,0,0,0,0,4.3742,5.1877,4.3864,4.5767,2,0,0.29,0.7471
1,247000023,48.71784,2,15,23,12,3,5,3,5,2,6,11,8,56,1.7857,1,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,4.3744,5.1291,4.3875,3.8673,1,0,0.27,0.5017
2,248000013,48.38773,2,15,23,12,3,5,3,5,2,6,11,6,20,19.6429,1,-0.3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6776,0,0,0,0,0,0,0,0,0,0,4.3746,5.0705,4.3883,2.5864,1,0,0.26,1.0091
2,249000003,48.43733,2,15,23,12,3,5,3,5,2,6,11,15,19,25,1,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025,0,0,0,0,0,0,0,0,0,0,4.3751,5.1124,4.3896,5.1544,2,0,0.25,0.9499
2,249000043,48.43714,2,15,23,12,3,5,3,5,2,6,11,4,19,5.2632,1,-0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004,0,0,0,0,0,0,0,0,0,0,4.3756,5.0705,4.3899,4.8919,2,0,0.25,1.0829
3,249000053,48.83591,2,15,23,12,3,5,3,5,2,7,11,4,19,5.2632,1,0.3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.8233,0,0,0,0,0,0,0,0,0,50,4.3761,5.1124,4.3905,5.5314,2,0,0.24,1.8309
2,250000003,48.88472,2,15,23,12,3,5,3,5,2,7,11,2,1,5.2632,1,0.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999,0,0,0,0,0,0,0,0,0,0,4.3767,5.1544,4.3914,9.3525,3,0.21,0.26,0.9426
2,250000033,48.88518,2,15,23,12,3,5,3,5,2,7,11,13,19,1900,1,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,4.377,5.1124,4.392,4.8544,2,0.21,0.25,1.0641
1,251000023,48.9151,2,15,23,12,3,5,3,5,2,7,11,4,19,5.2632,1,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612,0,0,0,0,0,0,0,0,0,0,4.3773,5.1544,4.3921,5.4802,2,0.21,0.25,0.8433
2,252000003,49.30983,2,15,23,12,3,5,3,5,2,7,11,11,19,21.0526,1,0.3947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,4.3779,5.1124,4.393,4.3561,1,0.21,0.24,0.9342
1,252000023,49.60219,2,15,23,12,3,5,3,5,2,7,11,10,19,5.2632,1,0.2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5929,0,0,0,0,0,0,0,0,0,0,4.3785,5.0705,4.3938,4.8112,2,0.21,0.23,0.8295
3,253000013,49.69991,2,15,23,12,3,5,3,5,2,7,10.5,5,19,21.0526,1,0.0977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,4.3792,5.0409,4.3943,4.2718,1,0,0.23,1.2242
2,254000003,49.79406,2,15,23,12,3,5,3,5,2,7,11,13,19,5.2632,1,0.0942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1894,0,0,0,0,0,0,0,0,0,0,4.3799,5.0705,4.3954,6.3048,3,0.21,0.25,1.007
1,255000003,49.93347,2,15,23,12,3,5,3,5,2,7,11,15,19,21.0526,1,0.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,4.3808,5.1124,4.3963,5.1964,2,0.21,0.24,0.807
2,255000013,49.93856,2,15,23,12,3,5,3,5,2,7,11,4,19,5.2632,1,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0,0,0,0,4.3816,5.0705,4.3966,4.1642,1,0.21,0.24,0.973
2,256000003,50.06162,2,15,23,12,3,5,3,5,2,7,11,12,19,5.2632,1,0.1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2464,0,0,0,0,0,0,0,0,0,0,4.3821,5.0409,4.3976,5.0111,2,0.21,0.23,1.058
1,257000023,50.32338,2,15,23,12,3,5,3,5,2,7,11,14,19,21.0526,1,0.2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5229,0,0,0,0,0,0,0,0,0,0,4.3826,5.0705,4.3983,5.4489,2,0.21,0.22,0.8625
